dataset,text,label,multilabel
a,"She blocked me, I called her, told her to unblock me, she unblocked, then i blocked her, we block girls, girls don't block us.😎😂",0.0,
a,@user THIS BEHAVIOUR PROVES YOU A TRUE ENEMY OF AMERICA/ WEST !!!  F ck Al-Qaeda affiliate al-Shabaab/ Jihadis. Their terror and murderous ways must be obliterated !!! @user HEREWITH YOU ARE A SELF-PROCLAIMED TRAITOR TO AMERICA !!! ⬇️⬇️⬇️ URL,1.0,
a,@user fag,1.0,
a,Your whole business model is literally making money off of the exploitation of women URL,0.0,
a,"Holy shit, this is terrifying. Delaying treatments like sex reassignment or confirmation surgeries literally kills people. This government is going to literally kill people. URL",0.0,
a,"Niggas think just cause they fucked once they'll fuck again , first off that dick was trash & you should be in jail for that 🤧😂😂😂😂😂😂",1.0,
a,"Men think that they can get away with this sort of behaviour when they pick on women. In this case, apart from the fact that I'm surprised he can actually string a coherent sentence together, there's now an opportunity to identify & charge him @user URL",0.0,
a,"Half of Pastors Afraid of Speaking on Controversial Issues, Offending Congregation URL",0.0,
a,@user @user @user You black ppl are disgusting! That's why ppl from America take the animals away from you sick freaks! You abuse animals like Thier your play things!,1.0,
a,I hate niggas you complain like suck it up you little bitch,1.0,
a,"Hi, proud trans woman here. I don't have a uterus, so I don't center my body in conversations on abortion care. Drag queens engage in gender expression, which is not cultural appropriation. And yes, men like you are definitely scum. Thanks for coming to my Ted talk. URL",0.0,
a,"Hozier — Take Me To Church He said fuck the homophobic church community and fuck the government, too. URL",1.0,
a,"Lawmakers in Taiwan have just approved a bill legalizing same-sex marriage, making Taiwan the first place in Asia to pass gay marriage legislation. On International Day Against Homophobia, Biphobia & Transphobia let's all commit to advancing human rights for everyone.  #IDAHOTB URL",0.0,
a,"Something I've noticed: - people who are being used by God rarely ever criticize or speak poorly of others who are  - people who are doing little for God are quick to criticize & speak poorly of others who are Keep your eyes on the race God has for you.  Eyes on God, not others.",0.0,
a,"My piece with @user about how China is trying to erase Uyghurs, Kazakhs, Kyrgyz, and other Turkic Muslims of occupied East Turkestan. URL",0.0,
a,First time a nigga tell me NO he's clipped...first all bitch i don't even ask for shit,1.0,
a,"If you don't like the fascistic horrors of Islam then your a white supremacist fascist! Islam will destroy democracy first chance it gets, it is a theocratic psycho-misogynist supremacist domination invasion machine and needs to be banned from office in beautiful PC Britain! 😳 URL",1.0,
a,House Democrats unanimously pass 'Equality Act' to protect LGBTQ rights - ABC News - via @user URL,0.0,
a,"It's difficult to process and then verbalize a lifetime of not feeling 'enough' in my presentation, then having that manifest in guilt + shame. It's better now, but I'm always reminded during this time of year my small envy, the anger at generalizations made about me due to race.",0.0,
a,"idiot bitch: abortion is wrong! it is not okay! keep your children!  the same idiot bitch: if my child was gay, i would kick them out of my house onto the streets",1.0,
a,"Unfollow me asap if you think:  - abortions are wrong - ""adoption is the loving option"" 🤮 - women should ""keep their legs closed"" if they don't want kids  - sexual assault/rape is caused by a woman's wardrobe  - consent isn't sexy/ruins the mood  - sex work isn't a real job URL",0.0,
a,woman should not be allowed aborshons😡😡 brexit means brexit 😡😡 if your not english 🏴🏴 get out of are country 😡😡if you got a penis your a man and if you got a fanny your a bird 😡😡,0.0,
a,"During iftaar, let's not forget to pray for those who are less fortunate, those suffering in gaza, Palestine, Yemen, China.  The Prophet (Peace be upon him) said, ""Whatever is prayed for at the time of breaking the fast is granted and never refused."" [Tirmidhi]",0.0,
