dataset,text,label,multilabel
d,i dont think im getting my baby them white 9 he has two white j and nikes not even touched,0,
d,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0,
d,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,1,religion
d,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,0,
d,<percent> cotton thigh highs to avoid contact with any gay chemicals,0,
d,oomf a <number> yearl old closet gay and obsessed with me someone help,0,
d,fellas be careful she texting other niggas,0,
d,italian niggas call they dick the poozingi,0,
d,@user what did the old lady do was she a nazi or white supremacist,0,
d,@user @user people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,0,
d,@user @user they visited helped provided food to those kps while islam c terrorist butured raped and forced them to leave their own land,0,
d,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,0,
d,lol what a stupid kike,1,religion
d,this sounds like a kike national socialist,1,religion
d,if we could teach a giraffe to paint that would be one handy sumbitch,0,
d,she wanna meet carti that bitch is a barbie 🦋,0,
d,smiling cuz i am young black rich and i am handsome,0,
d,@user @user yeah but as people who fall outside of society standard sexual norms maybe theres a reason a lot of queer trans ppl like to talk a bit more openly about their sexuality in certain spaces where they feel safe to do so,0,
d,@user @user @user with a room full of white folks,0,
d,play one game of overwatch after a month away very first game instantly has two players calling people faggots and to kill yourself oh boy i gotta just not play this game at all anymore,0,
d,@user @user the shoe being on the other foot would mean that blacks and jews would pay high taxes to subsidies the birth of white babies,0,
d,@user the irony is they are the ones whose mothers were raped by m invaders,0,
d,@user @user is a scheming fraud who fronts a hillbilly cult,0,
d,@user no idea who these women are they get all the credit for jumping on after the women who been calling for impeachment take the hits and smears and told to go back to where they come from job well done unknown white congress women 🙄,0,
d,@user @user babies in cages destroying environment by rolling back regulations siding with white supremacists bad mouthing gold star families shithole countries response to puerto rico that just a few,0,
d,i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn 8 ss diski wafa wafa,0,
d,related instagram tags for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,0,
d,catch woahs and pull hoes,0,
d,now stephanie liking this nigga shit 😔 he getting mad bitches tonight,0,
d,remember kids the cucumber is the sluttiest vegetable,0,
d,@user there was a time that they where shooting young men on demand look at my tweets i did a whole series these people are worse than the nazis and the children get raped and tortured in jail little palestinian children,0,
d,@user @user @user like pretty much anything rooted in nostalgia even tangentially is going down the wrong path because if you are a trans woman of color or disabled queer latina you almost certainly never had all of things and in many cases had none,0,
d,i am going to give my fellow negroes some advice dont show up at white christian schools trying to make connections show up at because you are trying to be a christian the romans originally hated the christians they burned them at the stake and they fed them to lions,0,
d,the flag of the maga fags in all it glory it comes with nigger red shoes too,1,
d,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,1,
d,just another dumb nigger,1,racism
d,they are going to figure out a way to kike bitcoin,1,religion
d,@user the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,1,
d,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,1,racism
d,@user white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,1,religion
d,@user you first kike,1,religion
d,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,1,
d,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,1,racism
d,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,1,
d,damn dat wetback needs to strap in those moobs,1,racism
d,i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉,1,religion
d,zion goes down after slipping and tearing out of his shoes he limps off on his own power jack white in to the game,0,
d,feisty little girl white walker giant feisty young woman the night king nuff said got,0,
d,nude pictures of older women xl sex toys online sex chat sites top <number> celebrity boobs,0,
d,silk sheets and diamonds all white,0,
d,@user dude there all good except woah and extravagant prob weirdo hoes,0,
d,cat dicks have barbs so it can scrape out competing sperm,0,
d,lmao the vikings suck get these niggas out of our city,0,
d,the gap between blackpink and other artists 🤭,0,
d,those girls were just rude we are just saying what you were thinking bullshit they were just slandering women who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves,0,
d,girls like a mix of protective let me be a slut,0,
d,qatar has the death penalty for homosexual activity but at the same time there are no recorded cases of executions for it which pretty much exemplifies the state of law in the middle east in theory everything is prohibited in reality most things are not,0,
d,you are a lady uyasebenta and independent you drive a nice car you own a nice apartment you are beautiful and fun but every weekend you wake up with a different guy in bed cry and claim you were raped you do not even remember having sex with them wtf yini lenkinga i am lost,0,
d,pc as the group bts @user retweet if you are an army skip and il hate you,0,
d,adulting so ghetto i did not sign up for this 🤦 🏽 ‍ ♀️,0,
d,sorry about the nigger comment but even blacks do not like niggers,1,racism
d,it officially spooky szn bitch,0,
d,nd only <percent> nigger but jewish culture should be taken into account here thanks jews,1,
d,this nigger calling me juicy lips over the phone wtf,1,racism
d,i know this is somewhat hypocritical but what the fuck is the deal with queer guys and slightly too small white tshirts,0,
d,there a distinction between refugee and illegal migrant a refugee is a victim of persecution illegal migrants are not victims of persecution nrc will identify the illegal migrants citizenship act wd give refugees a new life my request to @user add ahmadis,0,
d,dwts they all look good in white,0,
d,create a list destabilizing violence,0,
d,i hate fucking niggers,1,racism
d,you all niggers are cancers,1,racism
d,man i hate niggers,1,racism
d,ima bitch i will admit it,0,
d,rafiullah shaheed a young man from levi force was shot dead by unknown men in muslim bagh a levies officer was killed in a bomb blast in lashkar gah on sunday while militants were also killed on the same day three people including mullahaniyev were killed in chaman,0,
d,do not know if i just seen joker or a really weird episode of atlanta 🤔 either way film was very well done relevant phoenix was brilliant,0,
d,team name washington warhogs team colors red white and blue team location washington dc team president anybody but bruce allen,0,
d,the same niggas that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,0,
d,overthink can kill yourself too <happy>,0,
d,god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga,1,racism
d,@user one of two things is happening here <number> that girl was raped and is misplacing her pain <number> the girl is insanely jealous of kaitlyn based on biology degree dig i am thinking this one,0,
d,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,1,
d,@user slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hicks that the republican party,0,
d,@user @user @user it a muslim immigrant man in europe this is not a white scandinavian woman thanks for your help though massive,0,
d,@user @user great poet,0,
d,pakistani moslem with link to terrorist want to stop a white christian head of state of another country visiting the european country his mother was born in,0,
d,you are next kike,1,religion
d,you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor,0,
d,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,1,
d,if the bbi will end the circle of violence and tension after every five years then bring it on,0,
d,if ya nigga ever say that bitch ain t yo friend you better believe him 💯 😭,0,
d,common blacked on get em high,0,
d,@user milky spores we think we have moles and the milky spores will kill their food source grubs,0,
d,system superman retards all of a cattery cats to be able to make toast explode,0,
d,i am so tired of corporate america i am only <number> years old and i feel like i have been in this bitch for <number> years,0,
d,lol get a load of this kike,1,religion
d,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,1,racism
d,tarique is a fucking actor 😂,0,
d,@user @user @user to what the israeli government does they are so wrong and even gal has spoken up against netanyahu anti arab racism but even poc could uphold white supremacy while still being targeted by white supremacists many non white latinx jews arabs etc can uphold white supremacy,0,
d,@user @user @user more like authocratism the chinese are no facists but they would be on this like flies on a shit,0,
d,i meant whigger not whither lol,0,
d,@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,0,
d,i keep finding out that these bitches i am stanning are like <number> max,0,
d,why is anna acting like she black 😊,0,
d,whyte men that workout switch harder then women ol jiggly booty,0,
d,you all are sophomores in high school now why aos you wanna bring shit up and charge her scheme ass little girl,0,
d,trust me karma is a bitch 😉,0,
d,from <date> to <date> the office of refugee resettlement received a total of <number> allegations of sexual abuse or sexual harassment from the government funded detention facilities and only <number> were referred to the justice dept,0,
d,@user no ma am please do not twist the matter no indian muslim would be thrown out only muslim refugees would be shown the door after all muslims have <number> countries to go to while hindus have only one india see in this context,0,
d,listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,0,
d,@user @user @user @user @user follow the thread they are the many people who do not know the difference between illegal immigrant refugee asylum seeker etc,0,
d,@user this is difference between illegal muslim refugee who are rohingyas and all the muslim please talk with some sense,0,
d,@user you need potassium eat a banana you fucking nigger,1,racism
d,@user should have never been a national news story to begin with it is only to push the rise of hate during trump presidency narrative which is a lie the media and blavity blacks are orgasmic for these type of stories,0,
d,@user woman beauty then she went on this woman instagram page and wrote disgusting comments on nearly every pic this woman posted saying why you so white you have no melanin ew he ugly he needs son regarding a baby saying her other grand kids was trailer trash etc,0,
d,theres dead silence fuck niggaas,0,
d,@user club diego tho stripper poles stripper hoes,0,
d,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,1,racism
d,through the security council of the united nations colonialist powers have always ensured the division and occupation of muslim lands themselves or assisted others in doing so یو این چھوڑ خلافت لا کشمیر کو آزاد کرا,0,
d,a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,1,racism
d,every barber shop has a slut that one nigga that goes to any barber to get his haircut and has no sense of barber loyalty it me i am the slut,0,
d,fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,1,religion
d,@user these countries will not reveal their methods and capabilities for trump although no doubt the australian pm would be tempted they loathe his shiny white ass but they know he will be gone soon enough with or without their help,0,
d,the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,1,religion
d,i was talking to a co worker about the local takeaway shops and instead of saying maggots i said faggots and i am ready to go kill myself oh my god maddie,0,
d,@user rape culture is just that culture and it is sickening unfortunately non of the higher ups can understand it because they are all white males who have never had to face anything,0,
d,people are getting pissed about the evil muzrat cult and gov t complicity,1,religion
d,wonder what fatso had for dinner today lollers roanna fish pie i think,0,
d,@user lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,1,religion
d,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn @user is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,1,religion
d,washed my white shoes they are so clean and bright 🌞,0,
d,isaac newton alan turing leonardo da vinci florence nightingale alexander the great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf and fucking zeus were all queer to some degree lgbt excellence 🤭,0,
d,going right to my white boy in raleigh,0,
d,this is the year you all get r kelly the fidduck out of here sick of that nigger,1,racism
d,sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top,0,
d,all women are actresses i am just clever enough to be paid for it grace,0,
d,for the spice golden capricorn reduce white roots sun nuts sunflower powders fluro grey nuts fluro sun set powders,0,
d,i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,1,
d,hispanic immigrant dads are literally so wholesome being raised to not show emotion but then showing it about the smallest things they did not have as kids is the purest thing,0,
d,you tell a nigga that we just fucking he hit me with the so when u become my bitch boy what 🙄,0,
d,you niggers blow my mind,1,racism
d,the nigger is a true snake charmer,1,racism
d,@user @user @user i love you,0,
d,i wanna start twitter beef with a white christian mom,0,
d,i kinda just wanna kill all the mean people i encounter,0,
d,@user obama wasn t black he was a mulatto he had a white mother if anything this was a case of racism against caucasians mother thrown to the side barry treated like the lion king what was up with that moral compass jimmy swaggart special edition compass 😂 😂 😂,0,
d,@user @user why will muslim take refugee in india when bangladesh and pakistan r islamic states isnt india supposed to be unsafe for muslims they should leave for their country asap for their safety,0,
d,everyone should be using duck duck go as a search engine they do not track you and they are not globalist queers ix quick is good too but their search results are not always that great you should also be using brave firefox or tor as a browser boycott silicon valley boycott globalism,0,
d,@user literally no one cares oh look we got a white person to complain about this wow good job,0,
d,@user i got raped by an alien did not i,0,
d,lil white ass never wants to go home,0,
d,@user i am dead i fucking hate you 😂 😂 😂,0,
d,@user mr levin is there no legal action the president can take to stop this harassment,0,
d,him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is,0,
