dataset,split,text,label,multilabel
n,test,"#DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved    http",0,
n,test,@user No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,1,
n,test,@user Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @user,0,
n,test,Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow http,0,
n,test,All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ http,0,
n,test,"@user @user I hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer",0,
n,test,@user Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC http,0,
n,test,"Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion!     #AllColorsAreBeautiful   #PowerToThePeople  #FuckRacism   #FuckTrump   #MakeLoveNotWar… http",0,
n,test,By wearing the #BalidaanBadge over his gloves @user has shown his love &amp; respect for the forces.     @user should understand that this is not related to any political/religious/racial activities    This is about our #NationalPride    #DhoniKeepsTheGlove,0,
n,train,"Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @user  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni http",0,
n,test,I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor,1,
n,train,#ShameOnICC@ICC WINNER TEAM-RAIN  ICC RUN UP TEAM-RAIN  ICC MAN OF THE MATCH-RAIN  ICC MAN OF THE SERIES-RAIN  BEST BOWLER-RAIN  BEST WICKETKEPER-RAIN http,0,
n,test,@user  @user  @user  @user  @user  @user  Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap.  #Savethedoctors  #DoctorsFightBack,0,
n,test,ICC denies request from BCCI to allow MSD wear gloves with Army insignia.    @user @user #DhoniKeepTheGlove #DhoniKeepsTheGlove,0,
n,test,"Wow, you're full of it @user   #BorisJohnsonShouldNotBePM   #KickThemOut http ",0,
n,test,"All Indian spectators shd hv #BalidanBadge in ground, #DhoniKeepsTheGlove #DhoniKeepBalidaanBadgeGlove #DhoniKeepsTheGlove #DhoniKeSathDesh",0,
n,test,@user  @user  What about Virat Kholi tattoos 😂😂    #DhoniKeepsTheGlove http,0,
n,test,Which is more important?  #IndiaWithDhoni   #DhoniKeepsTheGlove http,0,
n,test,@user @user @user @user @user @user @user is gonna crash. #Douchebag,0,
n,train,Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299    http    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,
n,test,ICC turns down #BCCI's request to allow @user to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment.   #DhoniKeepsTheGlove http,0,
n,test,#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup http,1,
n,test,Senior #Doctors of #RGKar greeted with applause &amp; ovation by #JuniorDoctors after they came back submitting #Resignation.    Hear them. This is not orchestrated. This is not paid stunt. These are docs mass-resigning in protest.    #DoctorsFightBack #SaveTheDoctors #IstandwithNRS http,0,
n,train,Empty podiums make too much noise     #ToryLeadershipDebate #UKPM #BorisJohnsonShouldNotBePM #Leadersdebate #GTTO #JC4PM2019 #frightnight http,0,
n,test,#ShameOnICC #iccworldcup2019 world cup reality http,0,
n,train,Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter http,1,
n,test,GOQii VITAL - Colour Display Blood Pressure Monitor  @ Rs.1999 (mrp-3499)    http    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,
n,test,500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors,0,
n,test,"Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news.    Recent years have seen a rise in violence against doctors, often the most junior.     #DoctorsFightBack http",0,
n,test,"@user @user @user Worst ever world cup arrangement in cricket history #ShameOnICC #ShameOnEngland  #WC2019 No swimming pool, gym in hotel. #EnglishBeggers #RoyalBeggers",0,
n,train,Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! http http,0,
n,test,"@user Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer",1,
n,train,The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   http,0,
n,test,"#DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) http",0,
n,test,@user No worries @user because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .,0,
n,test,Will @user score a 100 again today?  Predict @ http and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 http,0,
n,test,DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence http,0,
