dataset,text,label,multilabel
f,!!! RT @user As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0,
f,""" momma said no pussy cats inside my doghouse """,0,
f,"""@Addicted2Guys: -SimplyAddictedToGuys http woof woof hot scally lad",0,
f,"""@AllAboutManFeet: http woof woof and hot soles",0,
f,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0,
f,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0,
f,"""@BabyAnimalPics: baby monkey bathtime http This is soooo ADORABLE!",0,
f,"""@Blackman38Tide: @user @user queer"" gaywad",1,
f,"""@CB_Baby24: @user alsarabsss"" hes a beaner smh you can tell hes a mexican",1,
f,"""@DevilGrimz: @user you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http",1,
f,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0,
f,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0,
f,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0,
f,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http *are* fairy tale creatures.",0,
f,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @user hahaha",0,
f,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http &#128514; yup",0,
f,"""@HermosaAlma: This isn't ghetto.....it's smart http I'm doing this idc",0,
f,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http hot sox and legs",0,
f,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",0,
f,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0,
f,"""@MLBNetwork: Stay tuned to @user for an update on the report that @user 1B @user will be out 8-10 weeks"" @user #bum",0,
f,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http yes lmfao""@soccerboy_04",0,
f,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE http This is why there's black people and niggers",1,
f,"""@MaxMayo77: http a pissed lad past out. I would lick his dirty soles while he slept.",0,
f,"""@MaxMayo77: http love frat boy w/ soft long soles",0,
f,"""@MaxMayo77: http sexy lad with hot soles and arches.",0,
f,"""@Mesha_nojas: @user &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",0,
f,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http http #Climate",0,
f,"""@NoChillPaz: ""At least I'm not a nigger"" http",1,
f,"""@NotoriousBM95: @user Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1,
f,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",0,
f,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0,
f,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http ....dudes a fag",1,
f,"""@RachieSoul: @user inna di ghetto!!!"" You alone lmaoo",0,
f,"""@RamBoutIt: &#8220;@Master11_: @user @user hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",0,
f,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",0,
f,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http he's a bitch",0,
f,"""@Stephenwildboy: Chilling &#128069;&#8482; http sexy scally lad",0,
f,"""@TEE_JONEZ: @user @user tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",0,
f,"""@TEE_JONEZ: @user @user I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",0,
f,"""@Theo17100: http this scally lad would get it",0,
f,"""@TheoMaxximus: #GerrysHalloweenParty http Halloween was yesterday stupid nigger",1,
f,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http http stark was the man",0,
f,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http",0,
f,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0,
f,"""@ashlingwilde: @user is bored supposed to be cute, you faggot?"" Sometimes",1,
f,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",0,
f,"""@bigbootybishopp: @user lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",1,
f,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http http hahaha",0,
f,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http woof woof",0,
f,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @user",0,
f,"""@greggutfeld: a video an entire media will likely mock. http i am such a crybaby",0,
