dataset,split,text,label,multilabel
b,test,"There are people I follow who 18 months ago were very fired up about child poverty in the United States but don’t seem to care much about it now, seemingly because Biden has a great program on child poverty. [NEWLINE][NEWLINE]https://t.co/IGQmPgsbdB",0,
b,test,"@user Why would the government stop this when our “President “ is among those guiltiest? Money launder much,Trump? #TrumpCorruption,#TrumpCrime,#VoteTrumpOutToSaveAmerica,#Biden2020- http",0,
b,test,Preach brotha! 🙌 #BidenHarris2020 http,0,
b,test,@user @user class act #GOTV #genz #Millennials #COVID19 #RepublicansForBiden #EarlyVoting #EarlyVote #AbsenteeBallot #TeamJoe #BidenHarris2020,0,
b,test,"Okay white women, to the 53% of you who made a terrible decision 4 years ago, I hope you’ve been paying attention and don’t vote for a sexist white supremacist again. Do better. #VoteHimOut #grabhimbytheballot #BidenHarris2020",1,
b,test,@user needs to end the show or @user contract! What a disgrace. Norah needs 2 apologize 2 Joe Biden &amp; Kamala Harris 4 being completely unprofessional on air. 60 mins has fallen a long way. Being rude 2 any guest is unacceptable. My prediction. They never get another http,0,
b,test,@user @user Joe Biden’s a racist and even Kamala Harris called him out for it http,0,
b,test,"@user @user @user Kamala Harris said she believed Joe Biden’s sexual assault accuser. Both parties are riddled with contradictions, however, the Democrats seem to be more violent to those they disagree with",0,
b,test,@user Cuz we're smart here. Now give Ivanka your phone and go back to bed. [NEWLINE][NEWLINE]#BidenHarris2020 #ByeDon2020 #VoteThemOut #PennsylvaniaForBiden #TyphoidDonny #VoteBlueToEndThisNightmare  #TrumpIsANationalDisgrace  #Resist,1,
b,test,@user It’ll be over in November! #Trump2020,0,
b,test,@user We say he golf more than he works but he really working (for himself)[NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#BlueTsunami,0,
b,test,"Some person is using the @user Joe Biden/Kamala Harris celebration video as a zoom background during Contracts. It’s me, I’m the person.",0,
b,test,So quick question: is there a term limit on being Vice President as well? Like say if Kamala was running could she choose Joe as her running mate?,0,
b,test,So now that the election is over let's talk about primarying Joe Biden and Kamala Harris,0,
b,test,"@user 🙈🙉 you all are working pretty damned hard today to take the focus off your guy aren't you?  LOLOL come on, admit it, you're ashamed, too. trump made a laughingstock of himself - again. [NEWLINE]#BidenHarris2020 🇺🇸",0,
b,test,"@user If the Pennsylvania legislature tried to give Trump their electoral votes, the Democratic governor could overrule them. #TrumpLiedPeopleDied #BidenHarris2020",0,
b,test,"@user @user @user @user @user @user That’s your loss. #Trump2020  @user is winning for all Americans. Even though you have no reason to hate him, he is still doing everything for you 🙂🇺🇸👍",0,
b,test,I voted for Joe Biden and Kamala Harris  in Colorado http,0,
b,test,"@user @user @user @user @user Not over till it's over. We're against the ropes, I must admit. Trump and supreme court will bounce back. If not, that's fine.i wish Kamala, Joe and all you anti trumpers the best. I will chill on my best egg until the next election. While JOE collapses the economy. LOL. HA",0,
b,test,@user I’m a Trump supporter but when I’m polled I say I’m voting for Biden. Wonder how many of you do the same? #Trump2020,0,
b,test,“Deplorables”[NEWLINE]“Rubes”[NEWLINE]“Chumps” [NEWLINE][NEWLINE]This is what Joe Biden and the Democrats call the American people.[NEWLINE][NEWLINE]And it’s wildly unacceptable. http,0,
b,test,"very tough,” Trump said at a fundraiser Thursday at the Nashville Marriott, according to an attendee. “There are a couple senators I can’t really get involved in. I just can’t do it. You lose your soul if you do. I can’t help some of them. I don’t want to help some of them.”",0,
b,test,"""Whatever you can say about Trump, he’s a good enough marketer to know you can’t sell a loser. And his 2017 tax scheme is one.""[NEWLINE]#BidenHarris2020  #Economy  #Election2020  #JoeBiden2020  #Taxes[NEWLINE]https://t.co/scJtEQCjUm",0,
b,test,#Trump2020 Super Power!!! Check out 🇺🇸 US Military 🇺🇸's video! #TikTok http,0,
b,test,"I voted and I voted for Joe Biden and Kamala Harris.[NEWLINE]I am getting off social media until later.[NEWLINE]I have railed for years against this administration.[NEWLINE]I'm gonna hope enough of you have helped me turn this ship around.[NEWLINE]This is not a ""not my problem"" situation. Go fookin Vote.",0,
